Time,country,eventName,beforeValue,nowValue,expectValue
2000-12-01 17:00,USD,10年期国债拍卖 ,5.75%,-1,5.75%
2000-12-01 17:00,USD,商业库存 ,0.60%,-1,0.60%
2000-12-01 17:00,USD,谘商会消费者信心 ,132.6,-1,135.8
2000-12-01 17:00,USD,芝加哥PMI ,43.7,-1,48
2000-12-01 17:00,USD,核心消费价格指数,0.30%,-1,0.20%
2000-12-01 17:00,USD,核心消费价格指数,2.60%,-1,2.50%
2000-12-01 17:00,USD,核心PCE物价指数 ,1.90%,-1,1.80%
2000-12-01 17:00,USD,核心PCE物价指数 ,0.20%,-1,0.10%
2000-12-01 17:00,USD,核心零售销售 ,0.20%,-1,0.00%
2000-12-01 17:00,USD,居民消费价格指数,0.20%,-1,0.20%
2000-12-01 17:00,USD,原油库存 ,1.87M,-1,-0.72M
2000-12-01 17:00,USD,成品房销售 ,5.35M,-1,5.25M
2000-12-01 17:00,USD,现房销售 ,1.90%,-1,-0.80%
2000-12-01 17:00,USD,出口价格指数 ,0.00%,-1,-0.10%
2000-12-01 17:00,USD,工厂订单 ,1.10%,-1,-4.20%
2000-12-01 17:00,USD,联邦财政预算 ,-23.70B,-1,-11.30B
2000-12-01 17:00,USD,新屋开工 ,1.55M,-1,1.55M
2000-12-01 17:00,USD,新屋开工 ,0.10%,-1,2.80%
2000-12-01 17:00,USD,进口物价指数 ,0.00%,-1,-0.40%
2000-12-01 17:00,USD,工业生产指数 ,0.00%,-1,-0.30%
2000-12-01 17:00,USD,初请失业金人数 ,335.23K,-1,303.73K
2000-12-01 17:00,USD,ISM制造业就业指数 ,47.1,-1,48.2
2000-12-01 17:00,USD,ISM制造业PMI ,48.5,-1,48.7
2000-12-01 17:00,USD,ISM非制造业就业指数 ,54.6,-1,54.5
2000-12-01 17:00,USD,ISM非制造业PMI ,56.2,-1,56.7
2000-12-01 17:00,USD,密歇根大学消费者预期指数 ,102.6,-1,100.7
2000-12-01 17:00,USD,密歇根大学消费者信心指数 ,107.6,-1,106.4
2000-12-01 17:00,USD,新屋销售 ,-5.70%,-1,2.30%
2000-12-01 17:00,USD,新屋销售 ,880.00K,-1,933.00K
2000-12-01 17:00,USD,个人支出 ,0.20%,-1,0.10%
2000-12-01 17:00,USD,费城联储制造业指数 ,6.9,-1,1.9
2000-12-01 17:00,USD,费城联储就业指数 ,-4.3,-1,2
2000-12-01 17:00,USD,私人部门非农就业 ,208.00K,-1,-23.00K
2000-12-01 17:00,USD,零售销售 ,-0.40%,-1,-0.20%
2000-12-01 17:00,USD,TIC长期资本净流入 ,45.50B,-1,43.90B
